"id","ref_id","technology","hierarchy","specification","structure_id","owner","remediation","remediation_specification","remediation_desc","full_name","node_code","cascade","forward_attenuator","forward_equaliser","return_attenuator","return_equaliser","ac_voltage","free_tap_ports","signal_level_code","connected_rf_combiner_code","connected_exchange_code","connected_cmts_code","object_status","NBP_flag","asset_transfer"
"3NES-68-01-PCD-0105","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0197","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0106","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0197","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0107","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0197","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0108","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0197","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0109","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0197","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0101","","COAXIAL","PCD","VIRTUAL","000000000200062058","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0100","","COAXIAL","PCD","VIRTUAL","000000000200062049","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0102","","COAXIAL","PCD","VIRTUAL","000000000200071352","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0120","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0115","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0116","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0117","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0114","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0118","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0119","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0121","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0122","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0123","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0124","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0125","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0170","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0148","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0137","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0145","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0138","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0146","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0139","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0147","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0140","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0141","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0136","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0149","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0142","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0143","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0135","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0150","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0151","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0152","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0153","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
