"id","ref_id","additional_id","segment_number","technology","hierarchy","length","specification","start_equipment_id","end_equipment_id","core_count","designation","start_structure_id","end_structure_id","object_status","owner","placement_type","start_equipment_port_id","end_equipment_port_id","remediation","remediation_specification","remediation_desc","leadin_cable_transfer","asset_transfer"
"000000004223854654","","",1,"COPPER","CSS",20.0,"Cu 2/0.40, PEILI, PE","000000015009394582","",2,"WESS P131:O142-143","000000000200086801","000000004223854373","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223855486","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015009385018","000000004223855627",2,"WESS P131:O193-194","000000000200086166","000000004223855137","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223855536","","",1,"COPPER","CSS",5.0,"Cu 1/0.40, PEILI, PE","000000004223855627","",1,"WESS P131:O193","000000004223855137","000000004223855051","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223855580","","",1,"COPPER","CSS",5.0,"Cu 1/0.40, PEILI, PE","000000004223855627","",1,"WESS P131:O194","000000004223855137","000000004223855095","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223856149","","",1,"COPPER","CSS",5.2,"Cu 1/0.40, PEILI, PE","000000004223856236","",1,"WESS P131:O133","000000004223855758","000000004223855672","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223856194","","",1,"COPPER","CSS",10.0,"Cu 1/0.40, PEILI, PE","000000004223856236","",1,"WESS P131:O131","000000004223855758","000000004223855718","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223856701","","",1,"COPPER","CSS",19.2,"Cu 2/0.40, PEILI, PE","000000015016221767","000000004223856842",2,"WESS P131:O104-105","000000012503606815","000000004223856366","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223856749","","",1,"COPPER","CSS",10.0,"Cu 1/0.40, PEILI, PE","000000004223856842","",1,"WESS P131:O105","000000004223856366","000000004223856280","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223856795","","",1,"COPPER","CSS",29.2,"Cu 1/0.40, PEILI, PE","000000015016221757","",1,"WESS P131:O106","000000012503606815","000000004223856322","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223857028","","",1,"COPPER","CSS",15.9,"Cu 2/0.40, PEILI, PE","000000004223177554","",2,"WESS P131:O189, WESS P131:O189","000000000200025868","000000004223856887","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223857591","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015004351978","",2,"WESS CA6:B595","000000000200364745","000000004223857457","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223857773","","",1,"COPPER","CSS",11.9,"Cu 2/0.40, PEILI, PE","000000015020707521","",2,"WESS CA6:B557-558","000000000200025847","000000004223857636","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223857961","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015004734687","",2,"WESS CA6:B594","000000012503605771","000000004223857825","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223858330","","",1,"COPPER","CSS",12.9,"Cu 2/0.40, PEILI, PE","000000015020711539","",2,"WESS CA6:B479","000000000200365402","000000004223858192","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223858514","","",1,"COPPER","CSS",12.5,"Cu 2/0.40, PEILI, PE","000000015020711544","",2,"WESS CA6:B433","000000000200365446","000000004223858376","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223858706","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223292870","",2,"WESS CA6:B410, WESS CA6:B410","000000000200371715","000000004223858560","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223858884","","",1,"COPPER","CSS",11.9,"Cu 2/0.40, PEILI, PE","000000004223279545","",2,"WESS CA6:B421","000000000200365496","000000004223858756","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223859071","","",1,"COPPER","CSS",13.1,"Cu 2/0.40, PEILI, PE","000000004223313224","",2,"WESS CA6:B406, WESS CA6:B407","000000012503605715","000000004223858927","INSERVICE","TELSTRA","","","","","","","N","N"
